Sample,SiO2,Al2O3,Fe2O3T,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5
1,64.26,15.67,5.590062708,2.63,3.44,4.31,2.58,0.88,0.09,0.26
2,64.34,15.59,5.567835818,2.64,3.41,4.27,2.63,0.89,0.09,0.28
3,64.22,15.65,5.456701371,2.52,3.33,3.99,2.53,0.88,0.09,0.24
4,64.27,15.68,5.645629932,2.63,3.26,3.94,2.52,0.91,0.09,0.23
5,64.33,15.45,5.490041705,2.63,3.28,3.7,2.46,0.88,0.09,0.25
6,64.01,15.8,5.645629932,2.62,3.32,3.72,2.63,0.87,0.09,0.26
7,63.43,15.51,5.423361037,2.59,3.11,3.3,2.65,0.86,0.09,0.25
8,61.08,17.71,5.167751808,2.31,2.09,2.15,2.1,0.8,0.08,0.2
9,57.98,19.76,4.956596357,2.22,1.85,1.33,2.23,0.79,0.07,0.19
10,59.56,18.24,5.212205587,2.21,1.25,1.06,2.4,0.81,0.07,0.18
11,60.03,18.36,4.956596357,2.1,0.47,0.6,2.48,0.79,0.06,0.17
12,57.58,20.03,4.967709802,2.07,0.43,0.54,2.44,0.78,0.06,0.16
13,59.3,19.21,4.745440907,1.88,0.25,0.34,2.28,0.74,0.05,0.16
14,49.56,28.2,2.811701521,1.01,0.09,0.07,1.53,0.44,0.09,0.13
15,53.13,29.99,2.256029284,0.86,0.07,0.03,1.3,0.41,0.02,0.11
